campaign_id,campaign_name,channel,target_segment,start_date,end_date,budget_inr,customers_reached,conversions
MKT00001,Festive Recharge Fest 2025,In-App,High-Risk Churn,16-04-2025,28-06-2025,20354972,250093,8729
MKT00002,New Year Plans 2024,SMS,Premium,28-07-2024,15-09-2024,28489684,742872,8159
MKT00003,Win-Back Special 2025,In-App,Enterprise,28-10-2025,08-12-2025,23631771,237292,7291
MKT00004,Roaming Ready 2024,Search Ads,Enterprise,22-06-2024,06-08-2024,4965739,220124,3539
MKT00005,5G Upgrade Drive 2025,Tele-calling,Value,24-03-2025,25-04-2025,36172912,121115,3127
MKT00006,Monsoon Data Bonanza 2024,Email,Premium,19-06-2024,20-08-2024,25752951,540518,42085
MKT00007,Diwali Dhamaka 2025,Tele-calling,High-Risk Churn,18-12-2025,21-01-2026,3486689,735691,26665
MKT00008,5G Upgrade Drive 2025,Outdoor,Premium,27-08-2025,03-10-2025,23251262,778838,10879
MKT00009,5G Upgrade Drive 2025,Tele-calling,Youth,01-03-2025,28-04-2025,32500943,540564,6783
MKT00010,Festive Recharge Fest 2025,Outdoor,Family,19-10-2025,06-11-2025,34856208,753298,30410
MKT00011,OTT Binge Bundle 2025,Email,High-Risk Churn,27-01-2025,27-03-2025,24226333,435300,26316
MKT00012,Student Saver 2026,Search Ads,Enterprise,12-02-2026,06-03-2026,23586924,426262,11209
MKT00013,Fiber Home Offer 2025,TV,Family,08-03-2025,03-04-2025,15409285,426710,6420
MKT00014,New Year Plans 2025,Social Media,Mass,20-05-2025,17-07-2025,3546356,379506,9558
MKT00015,Win-Back Special 2024,Outdoor,Enterprise,06-09-2024,13-11-2024,30018289,142329,9842
MKT00016,Student Saver 2025,Tele-calling,Family,04-04-2025,07-05-2025,27967830,693449,24734
MKT00017,Family Plan Push 2025,Email,Premium,17-03-2025,26-04-2025,30114865,443926,12319
MKT00018,Monsoon Data Bonanza 2024,Social Media,High-Risk Churn,04-12-2024,09-01-2025,48228989,211583,9226
MKT00019,Monsoon Data Bonanza 2025,Search Ads,Youth,19-10-2025,20-11-2025,33721735,37624,652
MKT00020,Loyalty Rewards Boost 2024,Social Media,Value,12-06-2024,28-06-2024,31746538,225532,8862
MKT00021,Monsoon Data Bonanza 2025,Tele-calling,Mass,02-08-2025,24-08-2025,11440882,744460,30194
MKT00022,Festive Recharge Fest 2024,TV,High-Risk Churn,13-11-2024,06-12-2024,48590356,798433,29156
MKT00023,Diwali Dhamaka 2025,Outdoor,Premium,02-02-2025,04-04-2025,4751235,572151,23557
MKT00024,Student Saver 2024,Social Media,High-Risk Churn,03-07-2024,20-08-2024,33547387,647830,7408
MKT00025,Diwali Dhamaka 2024,In-App,Family,19-09-2024,16-11-2024,11634884,410885,15951
MKT00026,Win-Back Special 2024,Outdoor,Premium,10-09-2024,26-10-2024,46213945,243133,5931
MKT00027,Win-Back Special 2024,SMS,Youth,13-11-2024,07-12-2024,9463913,28634,2061
MKT00028,Loyalty Rewards Boost 2025,SMS,Value,15-07-2025,09-09-2025,26066638,202886,11198
MKT00029,5G Upgrade Drive 2024,Email,Family,10-09-2024,19-10-2024,48539697,408266,26463
MKT00030,Diwali Dhamaka 2025,In-App,Enterprise,23-12-2025,29-01-2026,649969,477176,27429
MKT00031,Monsoon Data Bonanza 2025,Search Ads,Value,02-07-2025,15-08-2025,6605184,795934,9727
MKT00032,Fiber Home Offer 2025,Outdoor,Mass,10-04-2025,26-04-2025,24025026,374349,21887
MKT00033,New Year Plans 2025,Search Ads,Family,14-07-2025,24-09-2025,30906335,714452,16323
MKT00034,Win-Back Special 2025,Email,Value,08-07-2025,06-09-2025,17028460,243686,10568
MKT00035,Family Plan Push 2025,Outdoor,High-Risk Churn,04-08-2025,09-10-2025,7008482,756865,34128
MKT00036,Win-Back Special 2025,Social Media,Youth,06-08-2025,21-08-2025,31249764,752440,26441
MKT00037,Roaming Ready 2025,Email,Family,03-04-2025,05-06-2025,37158607,515281,26638
MKT00038,Family Plan Push 2025,Search Ads,High-Risk Churn,13-04-2025,15-05-2025,9332963,110647,8545
MKT00039,Family Plan Push 2024,Social Media,Family,25-11-2024,14-01-2025,15912845,386416,23163
MKT00040,Win-Back Special 2025,Search Ads,Premium,21-04-2025,27-06-2025,15876946,661179,16232
