plan_id,plan_name,product_line,billing_cycle,monthly_charge,data_quota_gb,voice_minutes,sms_count,segment,is_active
PL001,Prepaid Saver 199,Prepaid Mobile,Monthly,199,28,-1,300,Mass,Yes
PL002,Prepaid Smart 299,Prepaid Mobile,Monthly,299,56,-1,-1,Mass,Yes
PL003,Prepaid Plus 399,Prepaid Mobile,Monthly,399,84,-1,-1,Value,Yes
PL004,Prepaid Data 449,Prepaid Mobile,Monthly,449,112,-1,-1,Value,Yes
PL005,Prepaid Annual 2999,Prepaid Mobile,Annual,250,730,-1,-1,Value,Yes
PL006,Prepaid Annual 3599,Prepaid Mobile,Annual,300,912,-1,-1,Premium,Yes
PL007,Postpaid Lite 499,Postpaid Mobile,Monthly,499,75,-1,-1,Value,Yes
PL008,Postpaid Pro 699,Postpaid Mobile,Monthly,699,120,-1,-1,Premium,Yes
PL009,Postpaid Elite 999,Postpaid Mobile,Monthly,999,200,-1,-1,Premium,Yes
PL010,Postpaid Family 1299,Postpaid Mobile,Monthly,1299,300,-1,-1,Premium,Yes
PL011,Postpaid Annual 6999,Postpaid Mobile,Annual,583,1200,-1,-1,Premium,Yes
PL012,5G Boost 599,5G,Monthly,599,150,-1,-1,Premium,Yes
PL013,5G Max 899,5G,Monthly,899,300,-1,-1,Premium,Yes
PL014,5G Unlimited 1199,5G,Monthly,1199,1000,-1,-1,Premium,Yes
PL015,Fiber Home 699,Fiber Broadband,Monthly,699,1500,0,0,Value,Yes
PL016,Fiber Plus 999,Fiber Broadband,Monthly,999,3000,0,0,Premium,Yes
PL017,Fiber Pro 1499,Fiber Broadband,Monthly,1499,5000,0,0,Premium,Yes
PL018,Fiber Annual 11999,Fiber Broadband,Annual,1000,5000,0,0,Premium,Yes
PL019,OTT Combo 349,OTT Bundles,Monthly,349,50,0,0,Value,Yes
PL020,OTT Premium 599,OTT Bundles,Monthly,599,100,0,0,Premium,Yes
PL021,Enterprise Connect 4999,Enterprise,Annual,4166,8000,-1,-1,Enterprise,Yes
PL022,Enterprise Pro 9999,Enterprise,Annual,8333,20000,-1,-1,Enterprise,Yes
PL023,IoT Basic 99,IoT Solutions,Monthly,99,5,0,0,Enterprise,Yes
PL024,IoT Fleet 499,IoT Solutions,Monthly,499,30,0,0,Enterprise,Yes
PL025,Smart Home 799,Smart Home,Monthly,799,200,0,0,Premium,Yes
